ID,galaxy,label,xcentroid,ycentroid,sky_centroid.ra,sky_centroid.dec,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,segment_flux,kron_flux,label_z,xcentroid_z,ycentroid_z,area_z,semimajor_sigma_z,semiminor_sigma_z,orientation_z,eccentricity_z,min_value_z,max_value_z,segment_flux_z,kron_flux_z,CI5_g,CI5_z,m5_g,m5_z,CI4_g,CI4_z,m4_g,m4_z,CI_g,CI_z,m3_g,m3_z,fwhm,e_fwhm,colour
1103,NGC1427a,5491,1460.6912605741295,3232.0542262243903,55.06415304580764,-35.61779738553751,7.0,0.7319207310982083,0.6628433722240773,-77.82808135214889,0.4240862527226059,0.0206612840773929,0.0615160418305266,0.2402187555770992,0.3336142967466495,3363,1460.3689110584298,3231.1995414557955,5.0,0.7340451677780364,0.4510841493015661,72.79543770282855,0.7889026079356215,0.0213815096948959,0.0472613234118429,0.1660195334015475,0.2860126597362145,0.9926838380778662,0.511149887923338,27.184588979255143,26.683098023759943,0.9801510468076984,0.7775879958252752,27.197121770525317,26.41665991585801,0.992857648094592,0.8857049098299505,27.18441516923842,26.30854300185333,2.006640775020211,0.123794520177126,0.87587216738509
1104,NGC1427a,5492,1469.9773669351275,3233.0296073834043,55.06399438683848,-35.61778387061058,22.0,1.1293431637215383,1.065773206504958,42.25960569284874,0.3307720512987622,0.0099558739259782,0.2866821211556047,1.5716220437850177,1.548804689494894,3366,1469.1601284972178,3232.122935768557,8.0,0.814524002723146,0.6753938078397045,-48.809877486393184,0.5589693126355029,0.018279663866934,0.0665235126369271,0.268064167070742,0.3889165865417481,1.1284235567785643,0.9162747667980682,25.470410841016623,26.10984991272924,1.140276183198484,1.0935404824395398,25.458558214596703,25.932584197087767,1.096602218203813,1.1070424911558163,25.50223217959137,25.91908218837149,1.9748540471321048,0.1297193474696381,-0.4168500087801163
1105,NGC1427a,5497,3468.2382674620726,3231.7677500868044,55.02985372907161,-35.61780345148682,6.0,0.7342828297604082,0.5580460279248612,-46.32304300860044,0.6499372817793231,0.0204727964472309,0.057938455457338,0.2330858788317813,0.3354652407754651,3365,3467.540190709742,3231.578645679057,16.0,0.9945426092937768,0.9891846731875238,-46.04278492081156,0.1036612290988862,0.0128075688781202,0.1404343578552582,0.8646172960398084,1.063572861677771,0.9798237625862676,1.0749582454079594,27.13369692727957,24.79631422842209,0.9794658101213471,1.0920308310947853,27.13405487974449,24.779241642735265,0.9475397007770852,1.0083033863827957,27.16598098908875,24.86296908744725,0.0,0.0,2.303011901641497
1106,NGC1427a,5505,3532.8280660251557,3232.9705201316506,55.02875020248217,-35.61778665209133,10.0,0.9233673234061316,0.7514904030504024,-2.961939151685544,0.5810630251976878,0.0188963800762811,0.0525229558918241,0.3419240520910803,0.5362415887316947,3369,3532.504355748328,3232.52246664584,4.0,0.5006202696454529,0.4988543102964222,37.01234172791846,0.0839204488103358,0.0250687591430582,0.0424534932263164,0.1221731368342221,0.3618437509689716,1.7037567559539006,1.4985800606448478,26.483020657254134,25.872353183713702,1.6380774025981495,1.5393452838490873,26.548700010609885,25.831587960509463,1.5291101171395702,1.463430955192358,26.657667296068464,25.907502289166192,0.0,0.0,0.7501650069022716
1107,NGC1427a,5512,2341.772301792794,3236.90262137966,55.049099604102494,-35.6177321596572,30.0,1.2537241804144938,1.22123328961209,-7.168940486234336,0.2261844151668084,0.0058632563081137,0.2455587080273953,1.858210945671595,1.978388132189557,3378,2341.1269091065465,3236.173911985952,8.0,0.8221324435110927,0.6701051015656437,-42.82236555044332,0.5793460437587848,0.0057315662326071,0.0495164311273445,0.2347910371747325,0.3975650779100191,1.338967220115613,1.0067807194795932,25.277212639494337,26.25769155117575,1.3195786470164492,1.2543833733458598,25.2966012125935,26.010088897309483,1.2405047779256435,1.259551970463285,25.375675081684307,26.004920300192055,2.396107502038652,0.1764423881812789,-0.6292452185077515
1108,NGC1427a,5513,2905.494323506388,3234.7784767091666,55.03946831556883,-35.61776203131365,10.0,0.9734367401282212,0.7185794665255595,1.335575386633343,0.6745948820692496,0.0191460160122759,0.0490803066915357,0.3329207459475357,0.7939052597706167,3374,2904.512141209018,3234.0,2.0,0.5772225951718449,0.2886751345948128,0.0,0.8659615432395992,0.0310254160749007,0.035543859231559,0.0665692753064597,0.3227358603177293,2.021385196520857,1.8572961915861264,26.15818123560611,25.630589815150834,1.7773677217822836,1.5608820989473244,26.402198710344685,25.92700390778964,1.477568957471874,1.295631368285985,26.70199747465509,26.192254638450976,2.848389863345593,0.2920188988303948,0.5097428362041185
1109,NGC1427a,5515,3553.851097218881,3236.3682681582927,55.02839102675225,-35.6177394282982,19.0,1.0532147451265703,1.009588922578665,-14.44810973726032,0.2848287546785492,0.0030981313827946,0.2046711406881167,1.0961745263282905,1.1035333726708656,3382,3553.3200609421624,3236.653001339863,3.0,0.577284571398917,0.333099158043765,46.15609523914205,0.8167368517928545,0.0237070502194696,0.0407419875440979,0.0961135123504865,0.2820230789647809,1.0295446101736232,1.227777924874463,25.878565493859785,26.249070798592246,0.9919768843215948,1.112680274727328,25.916133219711813,26.36416844873938,0.9923368634836224,1.0707316943096077,25.915773240549782,26.4061170291571,1.982055409526456,0.1198396211167792,-0.4903437886073156
1110,NGC1427a,5525,4704.952921667352,3239.967601272633,55.008724272701656,-35.617686011775135,21.0,1.132834056617715,1.119439477195854,-89.59606951644302,0.1533235304341518,0.0127366873849657,0.0823870326387348,0.6679178538865914,0.7003405263605831,3384,4704.489000196384,3239.981683367129,6.0,0.7938766327044233,0.4998218387880552,-89.2978185373853,0.7769224044942229,0.0167172308970733,0.0287070669814275,0.1401010775603746,0.3951429562723827,1.4511214390052205,1.740986877115148,26.33075238216758,25.9706173167918,1.4700623374970796,1.7479888358974345,26.31181148367572,25.96361535800952,1.3834684107772084,1.583866683103853,26.398405410395597,26.127737510803097,2.593943515179729,0.237697020062584,0.270667899592496
1111,NGC1427a,5526,1118.5512711231388,3239.0,55.069998533847205,-35.617699591263126,2.0,0.5750692178037501,0.2886751345948128,0.0,0.8648773221589852,0.0161526435985904,0.0353953562011548,0.0515479997997453,0.2077455626269405,3381,1118.524104750645,3237.9693841727194,16.0,1.0432694677498795,0.9325500517250118,-89.73231729787076,0.4483209475415531,0.0130903043970359,0.1161616862651802,0.6420130184614703,0.8013445594216112,1.0271625600264471,1.1376638078625554,27.863321070566364,25.07923506580565,1.1533055595230692,1.124738140344537,27.737178071069746,25.092160733323677,1.125780135149988,1.0353925103755337,27.764703495442824,25.18150636329268,2.018360590032769,0.179883306230731,2.583197132150147
1112,NGC1427a,5531,3299.622278361544,3242.2822106224576,55.03273457761958,-35.617657615956155,13.0,1.1529385540053927,0.7771626556389328,-19.10680281626496,0.7386663925824571,0.0109956289284006,0.0763294832163281,0.432284762998797,0.7250921814768772,3388,3298.9955628665693,3241.988074603743,7.0,0.8971949013225213,0.5323937393436309,-44.83349909352136,0.8049091307185876,0.0029332528015158,0.0506525190634856,0.1747221772773899,0.4257581341794353,1.7893335593349526,1.860333098828285,26.14574434574445,25.49720061931261,1.6060806321340593,1.662836952884046,26.328997272945347,25.69469676525685,1.351127869032663,1.4018099010091838,26.583950036046744,25.955723817131712,2.530937089042468,0.3235064723790382,0.6282262189150316
